"","cowcode","country","year","v2x_delibdem","v2dlreason","v2dlcommon","v2dlcountr","v2dlconslt","v2dlengage","v2xeg_eqprotec","v2xeg_eqdr","v2x_jucon","v2xlg_legcon","v2cscnsult","v2xps_party","v2lgqstexp","v2lginvstp","v2lgotovst","e_competition","e_democ","e_autoc","v2x_corr","v2x_pubcorr","v2x_execorr","v2elvotbuy","v2elirreg","v2psprlnks","v2exbribe","v2exembez","v2excrptps","v2dlencmps","e_wbgi_gee","e_wbgi_rle","v2pepwrses","v2pepwrsoc","v2elreggov","v2elrgpwr","v2ellocgov","v2ellocpwr","v2x_feduni","e_dpi_author","v2mecenefm","v2mecenefi","e_peaveduc","e_migdppcln","e_migdpgro","e_peginiwi","e_reserves_billions","e_Total_Oil_Income_PC","e_Fiscal_Reliance","e_miinteco","e_miinterc","e_Civil_War","e_h_polcon3","e_h_polcon5","expend_security_EXP","expenddefence_EXP","exp_public_order_EXP","wagessalaries_EXP","pensions_EXP","total_welfare_EXP","education_EXP","health_EXP","social_protection_EXP","housing_EXP","owelfarespend_EXP","expend_security_GDPGSRE","expenddefence_GDPGSRE","exp_public_order_GDPGSRE","wagessalaries_GDPGSRE","pensions_GDPGSRE","total_welfare_GDPGSRE","education_GDPGSRE","health_GDPGSRE","social_protection_GDPGSRE","housing_GDPGSRE","owelfarespend_GDPGSRE","expend_security","expenddefence","exp_public_order","wagessalaries","subpentrans","pensions","total_welfare","education","health","social_protection","housing","owelfarespend","stability_0","stability_1","stability_2","stability_3","stability_4","stability_5","y_lk0","y_lk1","y_lk2","y_lk3","y_lk4","y_lk5"
"1",31,"Bahamas",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465585143520282,0.0264709706728657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284296153.846154,NA,13372222.2222222,NA,NA,NA,NA,NA,NA,0.041763845544595,0.371999354059855,0.361207482093606,0.308315457114279,0.327236228973243,0.30120041640601,0.0273561558510131,0.0193351938009516,0.0239060885221587,0.0139463723482067,0.0244985193303391,0.0181914172107485
"2",40,"Cuba",1976,0.0772426843507142,0.876765130491966,1.08176654510443,-0.743410072192166,-0.729711433311548,-0.978367985032076,0.53454106069002,0.782023181680773,0.173058488818466,0.261320669265067,-0.412410663158607,0.206235115401081,-0.808747526482275,-1.31385070399486,-1.24736712906064,0.0983606557377049,0.428571428571429,6.5,0.441710002093739,0.505756961029084,0.585990088884948,1.23222621227479,-0.81342628091624,0.708190311763661,0.614716028455954,-0.927143770799205,-0.855925763177859,1.25653945217913,-0.461367247626186,-0.975593104958535,0.790941273389455,0.162504402272333,1,0.237290153882763,1,-0.491476063607803,0.349643197742158,0,-1.34551501040231,-1.81729151658464,5.40283608045734,7.75116181764446,1.27343844805584,30.6092592875163,0.0954970338983051,13.2071486452083,NA,0.0163934426229508,0.0819672131147541,0.0327868852459016,0,0,0.22345170378685,0.167026307433844,0.0564254010096192,NA,NA,0.300028972327709,0.224434796720743,0.0755941737443209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62700000,46800000,15900000,NA,NA,NA,83975000,63125000,20850000,NA,NA,NA,0.226977732227212,0.324745861478783,0.3631526885663,0.323502439304796,0.348721639383773,0.344377165025995,0.00849626904128342,0.00984133334127923,0.00476549207354893,0.00787378979665609,-7.55207762019872e-05,0.0111591833194387
"3",41,"Haiti",1976,0.0872608920488504,-0.474372429694111,-0.700079046859213,-1.34878373681206,-0.764052683671634,-1.18115127005959,0.231644842712605,0.14416184935902,0.144321581135031,0.267125583696561,-1.09475990571137,0.156790049105394,-0.564207005909183,-0.914940387476126,-1.2818581971669,0.0983606557377049,1,6.57692307692308,0.842973762692899,0.869796201831005,0.881304585542835,-0.870760177624381,-1.35323858650166,-0.950533062010433,-1.58723501337814,-2.05469773995425,-1.83971193214225,-1.84420655141138,-1.4454909414053,-1.70321449637413,-1.05911595335429,-1.03174712949029,1,-0.811776898953042,1,-0.548972934832061,0.22691087772856,NA,-0.416852830313249,0.905064847482418,1.73093207888916,6.86458268712779,-0.602593004092818,53.6000007629395,0,0,NA,0,0.0491803278688525,0,0.054223192365546,0.0671896079312201,0.173972343759877,0.184043216208617,0.0495775416493416,0.494474182931744,NA,0.193315796554089,0.09991239417683,0.0855442329563878,0.0129398304164748,NA,0.174686700105667,0.0157836356200278,NA,NA,0.0459820094543534,NA,0.0251834858208895,0.0123915445680419,0.0108727001481586,0.00191924127284437,NA,NA,80323809.5238095,25083333.3333333,4950000,878206122.44898,NA,NA,166806428.571429,101539090.909091,87980000,15134545.4545455,NA,28033333.3333333,0.0993769872634899,0.278339416076691,0.309420555736952,0.301010194734342,0.290695996945227,0.290837710757098,0.0126190472293833,0.00938779343336504,0.000466368267296291,0.00944587545524822,0.0120887522628066,0.0136763717815591
"4",42,"Dominican Republic",1976,0.185863389177546,-0.629667614094527,-1.6680792646821,-0.853706939127681,-1.06514837520104,-0.481238881224957,0.339645145247217,0.308254049938233,0.360468725200559,0.129240937408854,0.594619834081074,0.517287203522979,-1.80858878827901,-1.83350002936606,-1.60351683727377,0.442622950819672,3.75438596491228,3.21052631578947,0.761924602608003,0.800360195949429,0.886656520796604,-1.44578695650075,-1.44414715968683,-1.2067597153157,-1.95072225681125,-1.85222340993736,-1.3406146977106,-1.46872941681016,-0.498633440583944,-0.602510344237089,-0.933479270212974,1.37868857610643,1,NA,1,1.40018485644347,NA,0,0.445056042584602,1.81995710255093,3.83727862404995,7.62533167788857,2.78051357170833,47.6460529126619,0,0,NA,0.0163934426229508,0.0655737704918033,0.0163934426229508,0.238163933890765,0.365874241227689,0.110869467051493,0.0663368670890729,0.0616605241711324,0.303030144642381,NA,0.292386791772313,0.110196654995282,0.105664144704739,0.0645136368771394,0.052586754783988,0.0669627313812574,0.0215707274464269,0.012870606717964,0.0130501806735992,0.0546012904222419,NA,0.0490373949209849,0.0192502706001202,0.0185107023765643,0.00996804039459676,0.00952032607580935,0.0128065549458066,2913161111.11111,1634394444.44444,1770600000,3749609803.92157,NA,NA,12659822222.2222,4530533333.33333,4.178e+09,3442266666.66667,3198500000,12733333.3333333,0.0960005909087373,0.28972465885201,0.282439691502622,0.286773317359656,0.28183361320044,0.272742138643506,0.00342022185985247,0.00384925225532906,0.0080371319831487,0.00247594296304188,0.00144408069865398,0.0110947786861855
"5",51,"Jamaica",1984,0.442484266249391,0.805845768710792,1.20414794775136,1.08862756238301,1.68782136981426,1.43582652762235,0.461620409621133,0.70077966981464,0.823608079221513,0.548343369695876,0.144920070708363,0.804931837982602,2.06112816424533,-0.781364447773502,0.451751986498967,1,9.68888888888889,0,0.344634842567225,0.285923343896866,0.202880163987478,-0.409645694606607,-0.0198516031000949,-1.20468230851252,0.27106593217652,1.64678296818387,0.607196115760134,1.05370599829874,0.0984310017665848,-0.437198210507631,1.11800107848892,1.5861790846115,0,NA,1,2.12301200952411,0.49156180024147,NA,1.27722272945135,1.62260432600114,7.092799949646,8.15901817745632,0.861297367099259,55.0099999830458,0,0,NA,0,NA,0,0.337545456534082,0.337545456534082,0.0691707587490479,NA,NA,0.285987550445965,0.0163548353704668,0.196127525530755,0.122109905381997,0.0939450796161378,NA,NA,0.0926823248820644,0.0137883036707838,NA,NA,0.0962615600403618,0.00501509619643912,0.0456364875426516,0.0315265111625195,0.0185403749346733,NA,NA,0.0182147877556937,7466666.66666667,NA,NA,10900745714.2857,NA,184247619.047619,56412500,50953333.3333333,9600000,NA,NA,10157142.8571429,0.0714818448839244,0.273785245830543,0.342269255443158,0.317652224676141,0.285181540684032,0.313319691378235,0.0139503119952562,0.00661821429195997,0.00238397009555924,0.00989014294841617,0.0124280153867358,0.0155891430558113
"6",52,"Trinidad and Tobago",1984,0.459286666199558,1.23187455927452,-0.187094281068566,0.450614916305494,-0.0811686886288039,1.3057359516468,0.896331915590499,0.673801647954517,0.849397480487823,0.752921280595992,-0.779431656275764,0.6700109495057,2.0241566457716,0.676128699931246,0.848715278657616,1,8.73333333333333,0,0.185881453289518,0.215002000331879,0.183386331134372,0.81139585625706,1.03132467027375,0.837129085311763,1.02710161910497,1.24520453962069,0.513195794853695,-0.0536933545981611,0.287286409176886,0.187079171650112,0.346061260728022,0.947742373226355,0,NA,1,0.491274011670847,0.344190449847116,1,0.873259772549414,1.69307067595524,7.32074360317654,9.20659548441569,2.67411005298297,44.2852380298433,0.728242222222222,1875.38815222222,38.2577637209302,NA,NA,0,0.40854545479471,0.778006328777833,0.0794509366154671,0.010024827439338,0.0785781666636467,0.317309989531835,0.0451006569589178,0.306694346666336,0.156560570001602,0.0932780377566814,0.111673317849636,0.030466029420495,NA,0.0194545971229673,0.00298880459740758,0.0235340003855527,0.0848250212768714,0.0102369295200333,0.0761686343699695,0.0368651753291488,0.0223555906675756,0.0332906008698046,0.00907906750217079,NA,239900000,64050000,499475000,1964426666.66667,NA,50358333.3333333,988510000,391810000,235040000,708525000,195625000,NA,0.0724147423463442,0.303916644446755,0.28498182062073,0.284892645213032,0.326979436478089,0.272053265717003,0.00750539194480626,0.00892651078223317,0.0058297639897158,0.0133082861000768,0.0146712428883613,0.000271857200870862
"7",53,"Barbados",1986,0.400693406797947,0.902285739188422,0.601179391669838,0.596519121396858,1.06752282066759,0.249062428885644,NA,0.865711017352779,0.952600415160016,0.821008042591374,0.994619174276637,0.642133571752688,0.636939072723051,1.73593936264811,1.11239771663945,1,NA,NA,0.239452677833351,0.387764722108841,0.42454055097045,0.761262539451775,1.31298144298921,0.940995559422574,-0.317078066616754,0.537251262966171,0.381400377853969,-0.0666603034261816,1.34798039495945,1.27970623224974,0.509457649627176,1.44663719082983,1,NA,0.0975609756097561,1.41684039580293,NA,NA,1.55308106419653,0.786645533393439,9.91564320354927,NA,NA,31.4920725938751,2.86585365853659e-09,39.7965091219512,NA,NA,NA,0,0.268513423204422,0.724698541065057,0.0141002016908099,0.00772733924995091,NA,0.350797702868779,0.0523908227682114,0.444505638546414,0.202213755912251,0.151413046651417,0.0630978716330396,0.0393064057247506,NA,0.00440324306125856,0.00250625487283937,NA,0.106166235357523,0.0161147196777165,0.115665629506111,0.0611113645136356,0.0399799160659313,0.0113947267333666,0.00317962312450012,NA,15164516.1290323,3309090.90909091,NA,341060000,NA,54552000.36,48533333.3333333,21455555.5555556,15844444.4444444,7966666.66666667,5033333.33333333,NA,0.0579196525046123,0.264792560459034,0.269834328351402,0.252741621673417,0.233933946578848,0.274402297881076,0.0022740545822848,-0.00297701562799979,-0.017501674577673,0.0174852667214838,0.0137123178508083,0.0150969174254856
"8",54,"Dominica",1992.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0906146205961704,NA,0.0906146205961704,0.396128466835728,0.0463265225429226,0.289254955947399,0.132152045145631,0.0978262852877377,0.0512251425534486,0.00805148319341242,NA,0.0431859651580453,NA,0.0431859651580453,0.16576361325052,0.0192086507255832,0.137296583503485,0.0627023903653026,0.0463010435923934,0.0244498285464942,0.0038433171575889,NA,8925000,NA,8925000,76244444.4444444,NA,9592592.59259259,28275000,12900000,9500000,5075000,8e+05,NA,0.0772884075156822,0.305552046684491,0.320670510933344,0.290859204579291,0.297627069269247,0.322960921162001,0.018133019079583,-0.0085122161244604,0.0092164537624706,-0.0155055941984055,-0.0284027429711946,-0.0109605395104819
"9",55,"Grenada",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0555669483211305,0.0366495355135864,0.0567522371808688,0.336472076528213,0.0409659549061741,0.319882918345301,0.154099267956458,0.112246878445149,0.0526717569679022,0.0366638200124726,0.0478189676379164,0.0172183530937348,0.00875902641564607,0.0197384286050995,0.136032558232546,0.0153411964631893,0.13035353521506,0.0586395614470045,0.0465062192330758,0.0216799982590601,0.017870695493184,0.0210924485568698,4064444.44444444,2575555.55555556,4466666.66666667,87236842.1052632,NA,4646666.66666667,83667550,37960000,35392857.1428571,15497400,19840000,5436875,0.166625552022509,0.245860277911553,0.260239295720832,0.279271779379833,0.240828988541018,0.273515594301452,0.0171593154692731,0.0166772059951148,0.0167970413746872,0.00617654043485594,0.0114468883556134,0.0104290095506965
"10",58,"Antigua and Barbuda",1993.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.402338203042746,0.038226222153753,0.0185771827430775,0.00666912094069024,0.016909902372087,NA,NA,NA,NA,NA,NA,0.111877704768077,0.0106270827919893,0.00533202276362673,0.00195775103444854,0.00482130516320467,NA,NA,NA,NA,NA,NA,136850000,NA,12941666.6666667,7025000,3800000,6075000,NA,NA,NA,0.0542739066653777,0.24982457811558,0.241165702337409,0.266082571595488,0.257466521565284,0.237159191919725,0.0135860288594245,0.016913617684051,0.0148891670548499,0.0151059350080607,0.0192948564843787,0.0139335238356186
