"","expend_security","expenddefence","exp_public_order","wagessalaries","subpentrans","pensions","total_welfare","education","health","social_protection","housing","owelfarespend","sum","cowcode","year"
"1",NA,NA,NA,90900000,NA,3600000,NA,NA,NA,NA,NA,NA,94500000,31,1978
"2",NA,NA,NA,98800000,NA,4e+06,NA,NA,NA,NA,NA,NA,102800000,31,1979
"3",NA,NA,NA,1.14e+08,NA,5300000,NA,NA,NA,NA,NA,NA,119300000,31,1980
"4",NA,NA,NA,134400000,NA,6800000,NA,NA,NA,NA,NA,NA,141200000,31,1981
"5",NA,NA,NA,146400000,NA,7400000,NA,NA,NA,NA,NA,NA,153800000,31,1982
"6",NA,NA,NA,166700000,NA,10600000,NA,NA,NA,NA,NA,NA,177300000,31,1983
"7",NA,NA,NA,184200000,NA,10400000,NA,NA,NA,NA,NA,NA,194600000,31,1984
"8",NA,NA,NA,200700000,NA,9600000,NA,NA,NA,NA,NA,NA,210300000,31,1985
"9",NA,NA,NA,2.09e+08,NA,9600000,NA,NA,NA,NA,NA,NA,218600000,31,1986
"10",NA,NA,NA,236100000,NA,10600000,NA,NA,NA,NA,NA,NA,246700000,31,1987
"11",NA,NA,NA,251200000,NA,11900000,NA,NA,NA,NA,NA,NA,263100000,31,1988
"12",NA,NA,NA,276700000,NA,13600000,NA,NA,NA,NA,NA,NA,290300000,31,1989
"13",NA,NA,NA,300600000,NA,11100000,NA,NA,NA,NA,NA,NA,311700000,31,1990
"14",NA,NA,NA,303200000,NA,18500000,NA,NA,NA,NA,NA,NA,321700000,31,1991
"15",NA,NA,NA,307500000,NA,2.1e+07,NA,NA,NA,NA,NA,NA,328500000,31,1992
"16",NA,NA,NA,300900000,NA,24700000,NA,NA,NA,NA,NA,NA,325600000,31,1993
"17",NA,NA,NA,336800000,NA,30300000,NA,NA,NA,NA,NA,NA,367100000,31,1994
"18",NA,NA,NA,344400000,NA,31700000,NA,NA,NA,NA,NA,NA,376100000,31,1995
"19",NA,NA,NA,333700000,NA,NA,NA,NA,NA,NA,NA,NA,333700000,31,1996
"20",NA,NA,NA,366900000,NA,NA,NA,NA,NA,NA,NA,NA,366900000,31,1997
"21",NA,NA,NA,383900000,NA,NA,NA,NA,NA,NA,NA,NA,383900000,31,1998
"22",NA,NA,NA,412700000,NA,NA,NA,NA,NA,NA,NA,NA,412700000,31,1999
"23",NA,NA,NA,4.4e+08,NA,NA,NA,NA,NA,NA,NA,NA,4.4e+08,31,2000
"24",NA,NA,NA,4.62e+08,NA,NA,NA,NA,NA,NA,NA,NA,4.62e+08,31,2001
"25",NA,NA,NA,4.85e+08,NA,NA,NA,NA,NA,NA,NA,NA,4.85e+08,31,2002
"26",NA,NA,NA,5.05e+08,NA,NA,NA,NA,NA,NA,NA,NA,5.05e+08,31,2003
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31,2004
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31,2005
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31,2006
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1946
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1947
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1948
"33",52200000,39500000,12700000,NA,NA,NA,70600000,50800000,19800000,NA,NA,NA,245600000,40,1949
"34",54200000,40800000,13400000,NA,NA,NA,76200000,54900000,21300000,NA,NA,NA,260800000,40,1950
"35",65900000,48200000,17700000,NA,NA,NA,90800000,69200000,21600000,NA,NA,NA,313400000,40,1951
"36",78500000,58700000,19800000,NA,NA,NA,98300000,77600000,20700000,NA,NA,NA,353600000,40,1952
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1953
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1954
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1955
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1956
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1957
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1958
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1959
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1960
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1961
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1962
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1963
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1964
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1965
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1966
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1967
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1968
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1969
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1970
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1971
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1972
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1973
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1974
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1975
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1976
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1977
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1978
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1979
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1980
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1981
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1982
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1983
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1984
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1985
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1986
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1987
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1988
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1989
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1990
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1991
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1992
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1993
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1994
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1995
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1996
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1997
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1998
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,1999
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2000
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2001
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2002
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2003
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2004
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2005
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,2006
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41,1946
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41,1947
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41,1948
"94",19900000,15100000,4800000,NA,NA,NA,17900000,9900000,7700000,3e+05,NA,NA,75600000,41,1949
"95",21300000,16200000,5100000,NA,NA,NA,19200000,10600000,8300000,3e+05,NA,NA,8.1e+07,41,1950
"96",24900000,NA,NA,NA,NA,NA,22100000,NA,NA,NA,NA,22100000,69100000,41,1951
"97",28100000,NA,NA,NA,NA,NA,2.7e+07,NA,NA,NA,NA,2.7e+07,82100000,41,1952
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41,1953
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41,1954
"100",32800000,NA,NA,NA,NA,NA,3.5e+07,NA,NA,NA,NA,3.5e+07,102800000,41,1955
"101",2.7e+07,2.7e+07,NA,65200000,NA,NA,NA,NA,NA,NA,NA,NA,119200000,41,1956
"102",27900000,27900000,NA,65300000,NA,NA,NA,NA,NA,NA,NA,NA,121100000,41,1957
"103",30800000,30800000,NA,68200000,NA,NA,NA,NA,NA,NA,NA,NA,129800000,41,1958
"104",33500000,33500000,NA,67200000,NA,NA,NA,NA,NA,NA,NA,NA,134200000,41,1959
"105",39300000,NA,NA,63800000,NA,NA,NA,NA,NA,NA,NA,NA,103100000,41,1960
"106",38400000,NA,NA,6.3e+07,NA,NA,NA,NA,NA,NA,NA,NA,101400000,41,1961
"107",37800000,NA,NA,63800000,NA,NA,NA,NA,NA,NA,NA,NA,101600000,41,1962
"108",NA,NA,NA,94100000,NA,NA,NA,NA,NA,NA,NA,NA,94100000,41,1963
"109",NA,NA,NA,96300000,NA,NA,NA,NA,NA,NA,NA,NA,96300000,41,1964
"110",NA,NA,NA,72100000,NA,NA,NA,NA,NA,NA,NA,NA,72100000,41,1965
"111",NA,NA,NA,69600000,NA,NA,NA,NA,NA,NA,NA,NA,69600000,41,1966
"112",NA,NA,NA,74200000,NA,NA,NA,NA,NA,NA,NA,NA,74200000,41,1967
"113",NA,NA,NA,70400000,NA,NA,NA,NA,NA,NA,NA,NA,70400000,41,1968
"114",NA,NA,NA,76800000,NA,NA,NA,NA,NA,NA,NA,NA,76800000,41,1969
"115",NA,NA,NA,8.1e+07,NA,NA,NA,NA,NA,NA,NA,NA,8.1e+07,41,1970
"116",NA,NA,NA,92700000,NA,NA,NA,NA,NA,NA,NA,NA,92700000,41,1971
"117",NA,NA,NA,99900000,NA,NA,NA,NA,NA,NA,NA,NA,99900000,41,1972
"118",NA,NA,NA,106100000,NA,NA,NA,NA,NA,NA,NA,NA,106100000,41,1973
"119",NA,NA,NA,114600000,NA,NA,NA,NA,NA,NA,NA,NA,114600000,41,1974
"120",NA,NA,NA,122400000,NA,NA,NA,NA,NA,NA,NA,NA,122400000,41,1975
"121",NA,NA,NA,130100000,NA,NA,NA,NA,NA,NA,NA,NA,130100000,41,1976
"122",NA,NA,NA,143300000,NA,NA,NA,NA,NA,NA,NA,NA,143300000,41,1977
"123",NA,NA,NA,179500000,NA,NA,NA,NA,NA,NA,NA,NA,179500000,41,1978
"124",NA,NA,NA,329700000,NA,NA,NA,NA,NA,NA,NA,NA,329700000,41,1979
"125",NA,NA,NA,330100000,NA,NA,NA,NA,NA,NA,NA,NA,330100000,41,1980
"126",104350000,NA,NA,351700000,NA,NA,155050000,77450000,61040000,16560000,NA,NA,766150000,41,1981
"127",101630000,NA,NA,4e+08,NA,NA,194390000,85860000,93230000,15300000,NA,NA,890410000,41,1982
"128",103120000,NA,NA,407100000,NA,NA,182150000,87320000,81510000,13320000,NA,NA,874520000,41,1983
"129",129100000,NA,NA,491500000,NA,NA,199900000,93400000,9e+07,16500000,NA,NA,1020400000,41,1984
"130",139100000,NA,NA,5.34e+08,NA,NA,205400000,9.9e+07,89500000,16900000,NA,NA,1083900000,41,1985
"131",147800000,NA,NA,5.61e+08,NA,NA,224800000,1.11e+08,97800000,1.6e+07,NA,NA,1158400000,41,1986
"132",184200000,NA,NA,699600000,NA,NA,340300000,171100000,143400000,25800000,NA,NA,1564400000,41,1987
"133",191600000,NA,NA,777500000,NA,NA,357800000,1.84e+08,153400000,20400000,NA,NA,1684700000,41,1988
"134",224200000,NA,NA,808300000,NA,NA,354300000,187300000,141900000,25100000,NA,NA,1741100000,41,1989
"135",NA,NA,NA,8.28e+08,NA,NA,NA,NA,NA,NA,NA,NA,8.28e+08,41,1990
"136",NA,NA,NA,8.95e+08,NA,NA,NA,NA,NA,NA,NA,NA,8.95e+08,41,1991
"137",NA,NA,NA,9.26e+08,NA,NA,NA,NA,NA,NA,NA,NA,9.26e+08,41,1992
"138",NA,NA,NA,1.12e+09,NA,NA,NA,NA,NA,NA,NA,NA,1.12e+09,41,1993
"139",NA,NA,NA,1.183e+09,NA,NA,NA,NA,NA,NA,NA,NA,1.183e+09,41,1994
"140",NA,NA,NA,1.69e+09,NA,NA,NA,NA,NA,NA,NA,NA,1.69e+09,41,1995
"141",NA,NA,NA,2.083e+09,NA,NA,NA,NA,NA,NA,NA,NA,2.083e+09,41,1996
"142",NA,NA,NA,2.698e+09,NA,NA,NA,NA,NA,NA,NA,NA,2.698e+09,41,1997
"143",NA,NA,NA,2.815e+09,NA,NA,NA,NA,NA,NA,NA,NA,2.815e+09,41,1998
"144",NA,NA,NA,2.926e+09,NA,NA,NA,NA,NA,NA,NA,NA,2.926e+09,41,1999
"145",NA,NA,NA,3.243e+09,NA,NA,NA,NA,NA,NA,NA,NA,3.243e+09,41,2000
"146",NA,NA,NA,3.387e+09,NA,NA,NA,NA,NA,NA,NA,NA,3.387e+09,41,2001
"147",NA,NA,NA,3.48e+09,NA,NA,NA,NA,NA,NA,NA,NA,3.48e+09,41,2002
"148",NA,NA,NA,3.862e+09,NA,NA,NA,NA,NA,NA,NA,NA,3.862e+09,41,2003
"149",NA,NA,NA,4.126e+09,NA,NA,NA,NA,NA,NA,NA,NA,4.126e+09,41,2004
"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41,2005
"151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41,2006
"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,1946
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,1947
"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,1948
"155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,1949
"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,1950
"157",NA,NA,NA,21700000,NA,NA,NA,NA,NA,NA,NA,NA,21700000,42,1951
"158",NA,NA,NA,23500000,NA,NA,NA,NA,NA,NA,NA,NA,23500000,42,1952
"159",NA,NA,NA,24400000,NA,NA,NA,NA,NA,NA,NA,NA,24400000,42,1953
"160",NA,NA,NA,25400000,NA,NA,NA,NA,NA,NA,NA,NA,25400000,42,1954
"161",NA,NA,NA,28200000,NA,NA,NA,NA,NA,NA,NA,NA,28200000,42,1955
"162",NA,NA,NA,31400000,NA,NA,NA,NA,NA,NA,NA,NA,31400000,42,1956
"163",NA,NA,NA,34900000,NA,NA,NA,NA,NA,NA,NA,NA,34900000,42,1957
"164",NA,NA,NA,40800000,NA,NA,NA,NA,NA,NA,NA,NA,40800000,42,1958
"165",NA,NA,NA,49500000,NA,NA,NA,NA,NA,NA,NA,NA,49500000,42,1959
"166",NA,NA,NA,49100000,NA,NA,NA,NA,NA,NA,NA,NA,49100000,42,1960
"167",NA,NA,NA,50200000,NA,NA,NA,NA,NA,NA,NA,NA,50200000,42,1961
"168",55400000,33100000,22300000,6.5e+07,NA,NA,24900000,13200000,NA,NA,NA,11700000,225600000,42,1962
"169",64700000,3.4e+07,30700000,90400000,NA,NA,30700000,17800000,NA,NA,NA,12900000,281200000,42,1963
"170",69800000,3.7e+07,32800000,1.13e+08,NA,NA,38200000,24600000,NA,NA,NA,13600000,3.29e+08,42,1964
"171",NA,NA,NA,8.3e+07,NA,NA,NA,NA,NA,NA,NA,NA,8.3e+07,42,1965
"172",NA,NA,NA,101600000,NA,NA,NA,NA,NA,NA,NA,NA,101600000,42,1966
"173",NA,NA,NA,97300000,NA,NA,NA,NA,NA,NA,NA,NA,97300000,42,1967
"174",NA,NA,NA,96500000,NA,NA,NA,NA,NA,NA,NA,NA,96500000,42,1968
"175",NA,NA,NA,101300000,NA,NA,NA,NA,NA,NA,NA,NA,101300000,42,1969
"176",NA,NA,NA,105800000,NA,NA,NA,NA,NA,NA,NA,NA,105800000,42,1970
"177",NA,NA,NA,110400000,NA,NA,NA,NA,NA,NA,NA,NA,110400000,42,1971
"178",NA,NA,NA,117300000,NA,NA,NA,NA,NA,NA,NA,NA,117300000,42,1972
"179",NA,NA,NA,124300000,NA,NA,NA,NA,NA,NA,NA,NA,124300000,42,1973
"180",NA,NA,NA,142100000,NA,NA,NA,NA,NA,NA,NA,NA,142100000,42,1974
"181",NA,NA,NA,158500000,NA,NA,NA,NA,NA,NA,NA,NA,158500000,42,1975
"182",NA,NA,NA,164500000,NA,NA,NA,NA,NA,NA,NA,NA,164500000,42,1976
"183",NA,NA,NA,1.73e+08,NA,NA,NA,NA,NA,NA,NA,NA,1.73e+08,42,1977
"184",NA,NA,NA,215800000,NA,NA,NA,NA,NA,NA,NA,NA,215800000,42,1978
"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,1979
"186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,1980
"187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,1981
"188",NA,NA,NA,427800000,NA,NA,NA,NA,NA,NA,NA,NA,427800000,42,1982
"189",NA,NA,NA,448800000,NA,NA,NA,NA,NA,NA,NA,NA,448800000,42,1983
"190",NA,NA,NA,499900000,NA,NA,NA,NA,NA,NA,NA,NA,499900000,42,1984
"191",NA,NA,NA,609700000,NA,NA,NA,NA,NA,NA,NA,NA,609700000,42,1985
"192",NA,NA,NA,710100000,NA,NA,NA,NA,NA,NA,NA,NA,710100000,42,1986
"193",NA,NA,NA,677100000,NA,NA,NA,NA,NA,NA,NA,NA,677100000,42,1987
"194",NA,NA,NA,965400000,NA,NA,NA,NA,NA,NA,NA,NA,965400000,42,1988
"195",NA,NA,NA,1191400000,NA,NA,NA,NA,NA,NA,NA,NA,1191400000,42,1989
"196",3.41e+08,3.41e+08,NA,1.645e+09,NA,NA,2.608e+09,7.08e+08,1.048e+09,8.52e+08,NA,NA,7.543e+09,42,1990
"197",5.53e+08,5.53e+08,NA,2.208e+09,NA,NA,3.472e+09,9.36e+08,1.586e+09,9.5e+08,NA,NA,1.0258e+10,42,1991
"198",7.54e+08,7.54e+08,NA,2.823e+09,NA,NA,5.474e+09,1.502e+09,2.833e+09,1.139e+09,NA,NA,1.5279e+10,42,1992
"199",1.007e+09,1.007e+09,NA,3.562e+09,NA,NA,7.21e+09,2.007e+09,3.611e+09,1.592e+09,NA,NA,1.9996e+10,42,1993
"200",1.106e+09,1.106e+09,NA,4.241e+09,NA,NA,8.316e+09,2.606e+09,4.093e+09,1.617e+09,NA,NA,2.3085e+10,42,1994
"201",1.633e+09,9.4e+08,6.93e+08,5.343e+09,NA,NA,8.319e+09,3.019e+09,1.936e+09,6.75e+08,2.689e+09,NA,2.5247e+10,42,1995
"202",1.964e+09,1.149e+09,8.15e+08,6.109e+09,NA,NA,9.253e+09,3.537e+09,2.408e+09,1.04e+09,2.268e+09,NA,2.8543e+10,42,1996
"203",3.084e+09,1.682e+09,1.402e+09,9.892e+09,NA,NA,1.1495e+10,4.778e+09,2.98e+09,1.681e+09,2.056e+09,NA,3.905e+10,42,1997
"204",3.395e+09,1.818e+09,1.577e+09,1.2756e+10,NA,NA,1.3156e+10,6.083e+09,3.524e+09,1.574e+09,1.975e+09,NA,4.5858e+10,42,1998
"205",3.954e+09,1.974e+09,1.98e+09,1.4206e+10,NA,NA,1.6684e+10,7.545e+09,4.184e+09,2.668e+09,2.287e+09,NA,5.5482e+10,42,1999
"206",5.391e+09,2.763e+09,2.628e+09,1.8134e+10,NA,NA,1.8415e+10,7.697e+09,5.559e+09,3.48e+09,1.679e+09,NA,6.5746e+10,42,2000
"207",6.877e+09,3.925e+09,2.952e+09,2.1496e+10,NA,NA,2.4917e+10,1.0043e+10,6.538e+09,5.912e+09,2.424e+09,NA,8.5084e+10,42,2001
"208",7.548e+09,4.449e+09,3.099e+09,2.4925e+10,NA,NA,2.6571e+10,1.1708e+10,7.688e+09,4.313e+09,2.862e+09,NA,9.3163e+10,42,2002
"209",5.629e+09,2.761e+09,2.868e+09,2.6108e+10,NA,NA,2.2134e+10,7.551e+09,5.049e+09,5.732e+09,3.802e+09,NA,8.1634e+10,42,2003
"210",9.011e+09,4.093e+09,4.918e+09,2.9813e+10,NA,NA,4.9759e+10,1.1774e+10,9.633e+09,1.8409e+10,9.943e+09,NA,1.47353e+11,42,2004
"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,2005
"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,2006
"213",NA,NA,NA,NA,NA,NA,1.4e+07,NA,4800000,NA,NA,9200000,2.8e+07,51,1962
