"","cowcode","year","expend_security_p","expenddefence_p","exp_public_order_p","wagessalaries_p","subpentrans_p","pensions_p","total_welfare_p","education_p","health_p","social_protection_p","housing_p","owelfarespend_p"
"1",31,1978,NA,NA,NA,0.961904761904762,NA,0.0380952380952381,NA,NA,NA,NA,NA,NA
"2",31,1979,NA,NA,NA,0.961089494163424,NA,0.0389105058365759,NA,NA,NA,NA,NA,NA
"3",31,1980,NA,NA,NA,0.955574182732607,NA,0.0444258172673931,NA,NA,NA,NA,NA,NA
"4",31,1981,NA,NA,NA,0.951841359773371,NA,0.0481586402266289,NA,NA,NA,NA,NA,NA
"5",31,1982,NA,NA,NA,0.951885565669701,NA,0.0481144343302991,NA,NA,NA,NA,NA,NA
"6",31,1983,NA,NA,NA,0.940214326001128,NA,0.059785673998872,NA,NA,NA,NA,NA,NA
"7",31,1984,NA,NA,NA,0.94655704008222,NA,0.0534429599177801,NA,NA,NA,NA,NA,NA
"8",31,1985,NA,NA,NA,0.95435092724679,NA,0.0456490727532097,NA,NA,NA,NA,NA,NA
"9",31,1986,NA,NA,NA,0.95608417200366,NA,0.0439158279963403,NA,NA,NA,NA,NA,NA
"10",31,1987,NA,NA,NA,0.957032833400892,NA,0.0429671665991082,NA,NA,NA,NA,NA,NA
"11",31,1988,NA,NA,NA,0.95477004941087,NA,0.0452299505891296,NA,NA,NA,NA,NA,NA
"12",31,1989,NA,NA,NA,0.953151911815363,NA,0.0468480881846366,NA,NA,NA,NA,NA,NA
"13",31,1990,NA,NA,NA,0.964388835418672,NA,0.0356111645813282,NA,NA,NA,NA,NA,NA
"14",31,1991,NA,NA,NA,0.942493005906124,NA,0.0575069940938763,NA,NA,NA,NA,NA,NA
"15",31,1992,NA,NA,NA,0.936073059360731,NA,0.0639269406392694,NA,NA,NA,NA,NA,NA
"16",31,1993,NA,NA,NA,0.924140049140049,NA,0.0758599508599509,NA,NA,NA,NA,NA,NA
"17",31,1994,NA,NA,NA,0.917461182239172,NA,0.0825388177608281,NA,NA,NA,NA,NA,NA
"18",31,1995,NA,NA,NA,0.915713905876097,NA,0.0842860941239032,NA,NA,NA,NA,NA,NA
"19",31,1996,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"20",31,1997,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"21",31,1998,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"22",31,1999,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"23",31,2000,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"24",31,2001,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"25",31,2002,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"26",31,2003,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"27",31,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",31,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",31,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",40,1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",40,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",40,1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",40,1949,0.212540716612378,0.160830618892508,0.0517100977198697,NA,NA,NA,0.287459283387622,0.206840390879479,0.0806188925081433,NA,NA,NA
"34",40,1950,0.207822085889571,0.156441717791411,0.0513803680981595,NA,NA,NA,0.292177914110429,0.210506134969325,0.0816717791411043,NA,NA,NA
"35",40,1951,0.210274409700064,0.153797064454371,0.0564773452456924,NA,NA,NA,0.289725590299936,0.220804084237396,0.0689215060625399,NA,NA,NA
"36",40,1952,0.222002262443439,0.166006787330317,0.0559954751131222,NA,NA,NA,0.277997737556561,0.219457013574661,0.0585407239819005,NA,NA,NA
"37",40,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",40,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",40,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",40,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",40,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",40,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",40,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",40,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",40,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",40,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",40,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",40,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",40,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",40,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",40,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",40,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",40,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",40,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",40,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",40,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",40,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",40,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",40,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",40,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",40,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",40,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",40,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",40,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",40,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",40,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",40,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",40,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",40,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",40,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",40,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",40,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",40,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",40,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",40,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",40,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",40,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
